Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3wljbdagmhpi6h7viwogz9ul0,2026-05-23 19:00:00,50x1m4u58lffhq6v6ga1hbxmy,true,false,true,false,false,MLL,MLL,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187,W 3-0,Martín Demichelis,9,198.00,39.3%,46.4%,23,19,9,66,72,66.4%,49.3%,44.7%,28,25,58,8,58,19.00,67,0,48.9%,8,8,0,46,95,147,117,79,242,8,3,0,0,36.8%,179,2.61,55.6%,37,21,9,7,381,33.6,10.00,-,16.7%,23.8%,16.7%,72.3%,26.2,36.8%,23,32,7
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3sg7p1fgas9oyig0lv5gdmvis,2026-05-17 17:00:00,50x1m4u58lffhq6v6ga1hbxmy,false,true,false,true,false,MLL,MLL,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855,L 0-2,Martín Demichelis,21,160.00,41.9%,41.9%,18,14,3,71,71,76.0%,65.9%,52.4%,27,21,52,3,52,6.00,56,0,51.0%,0,4,0,51,79,73,53,48,152,11,0,0,0,30.4%,168,0.30,56.1%,35,19,7,8,448,34.7,17.00,-,21.6%,2.7%,24.3%,20.0%,29.8,30.4%,8,33,1
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3oazgnn4to0s2xa8mtme8o36c,2026-05-13 19:30:00,50x1m4u58lffhq6v6ga1hbxmy,false,true,false,true,false,MLL,MLL,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450,L 1-3,Martín Demichelis,11,114.00,34.8%,39.1%,10,19,1,46,57,53.5%,64.3%,61.3%,40,16,66,6,66,5.00,33,0,61.5%,5,8,0,80,143,116,117,62,259,8,1,0,0,34.4%,170,0.41,46.4%,37,10,4,3,336,34.9,13.00,-,15.8%,15.8%,26.3%,7.3%,24.8,34.4%,9,15,0
4,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3lazt464v4k6hjwcq9ljf0ums,2026-05-10 12:00:00,50x1m4u58lffhq6v6ga1hbxmy,true,false,false,false,true,MLL,MLL,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449,D 1-1,Martín Demichelis,16,197.00,25.8%,41.9%,19,17,8,71,80,68.8%,45.8%,46.6%,20,23,57,8,57,11.00,49,0,47.6%,5,3,0,40,90,155,122,83,245,6,1,0,0,37.6%,170,1.74,59.6%,30,23,5,6,336,34.6,15.00,-,29.8%,6.4%,21.3%,30.9%,27.1,37.6%,18,38,1
5,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3i9z3nd0s3lxkt3l5hpy8wil0,2026-05-01 19:00:00,50x1m4u58lffhq6v6ga1hbxmy,false,true,true,false,false,MLL,MLL,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893,W 1-0,Martín Demichelis,30,140.00,22.6%,25.8%,16,24,2,37,53,40.0%,42.5%,55.8%,36,10,56,0,56,6.00,42,0,44.9%,9,4,0,93,158,160,125,100,318,13,1,0,0,36.1%,131,1.09,55.8%,32,19,4,4,220,37.4,21.00,-,9.5%,9.5%,28.6%,51.6%,21.3,36.1%,9,20,2
6,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),38dsrz394cwn8gbxbm6ahnllg,2026-04-25 12:00:00,50x1m4u58lffhq6v6ga1hbxmy,false,true,false,true,false,MLL,MLL,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173,L 1-2,Martín Demichelis,16,93.00,23.5%,32.4%,12,29,1,30,54,38.3%,57.4%,66.6%,28,8,40,1,40,0.00,32,0,49.4%,2,13,0,88,157,111,130,50,268,5,0,1,0,32.5%,135,0.22,54.9%,33,11,4,1,306,34.3,15.00,-,29.4%,17.6%,5.9%,26.4%,24.6,32.5%,4,15,0
7,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3ddiuilkmzwc7z89f5cjy1pn8,2026-04-21 17:00:00,50x1m4u58lffhq6v6ga1hbxmy,true,false,false,false,true,MLL,MLL,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191,D 1-1,Martín Demichelis,24,186.00,38.9%,61.1%,18,17,5,58,68,67.9%,52.0%,50.4%,41,22,64,3,64,12.00,57,0,50.4%,5,6,0,59,96,133,101,69,229,7,1,0,0,30.0%,151,1.82,58.2%,26,21,2,6,393,35.3,17.00,-,25.9%,11.1%,11.1%,51.1%,25.5,30.0%,20,25,4
8,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),36img9yditg3x8kvo810l3ims,2026-04-12 14:15:00,50x1m4u58lffhq6v6ga1hbxmy,true,false,true,false,false,MLL,MLL,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184,W 3-0,Martín Demichelis,19,121.00,8.6%,11.4%,14,23,3,37,42,45.5%,44.0%,53.5%,35,18,50,5,50,8.00,28,1,50.3%,9,10,0,78,127,127,109,67,254,11,3,0,0,37.7%,132,1.73,52.2%,22,12,3,3,185,36.0,18.00,-,28.0%,8.0%,4.0%,80.8%,22.4,37.7%,12,26,6
9,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),334grr0hqs8zr92mx518hdjpw,2026-04-04 14:15:00,50x1m4u58lffhq6v6ga1hbxmy,true,false,true,false,false,MLL,MLL,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186,W 2-1,Martín Demichelis,41,97.00,33.3%,36.7%,9,12,2,30,37,33.4%,38.6%,57.6%,22,14,36,0,36,2.00,23,0,51.1%,7,4,1,117,169,116,112,56,285,14,2,0,0,36.8%,114,1.19,45.7%,16,14,1,0,175,32.7,11.00,-,30.8%,0.0%,30.8%,52.5%,23.0,36.8%,6,16,2
10,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2yl5s151fw9kjhq3j3dx1g2l0,2026-03-21 13:00:00,50x1m4u58lffhq6v6ga1hbxmy,false,true,false,true,false,MLL,MLL,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954,L 1-2,Martín Demichelis,29,186.00,36.1%,47.2%,18,20,6,44,55,59.1%,47.2%,48.1%,43,20,84,11,84,6.00,57,0,49.6%,5,4,0,67,115,121,105,64,236,11,1,0,0,36.4%,143,1.37,48.5%,33,18,6,4,212,39.0,29.00,-,20.8%,8.3%,4.2%,17.7%,24.0,36.4%,11,24,2
11,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2taxjp7kgsyqb2x6zjjbiwys4,2026-03-15 13:00:00,50x1m4u58lffhq6v6ga1hbxmy,true,false,true,false,false,MLL,MLL,c8llrezkm3b3op4afrou6b487,ESP,ESP,177,W 2-1,Martín Demichelis,10,178.00,32.3%,38.7%,19,16,2,75,81,70.2%,64.0%,50.7%,26,20,64,7,64,18.00,57,0,37.9%,3,6,0,36,71,92,72,55,163,8,2,0,0,32.8%,175,2.35,68.9%,28,20,4,4,400,33.1,14.00,-,20.5%,10.3%,15.4%,42.2%,30.1,32.8%,26,27,4
12,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2pivvji4pf47xn5ziqca3ttlg,2026-03-07 13:00:00,50x1m4u58lffhq6v6ga1hbxmy,false,true,false,false,true,MLL,MLL,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450,D 2-2,Martín Demichelis,53,113.00,10.5%,10.5%,7,17,3,44,46,40.6%,56.1%,63.8%,33,11,51,4,51,6.00,43,0,44.6%,3,7,0,104,144,86,79,47,230,17,2,0,0,37.8%,158,1.10,53.8%,27,11,3,5,312,32.8,11.00,-,27.3%,4.5%,13.6%,59.7%,25.6,37.8%,8,13,2
